id,ProId,ProCreationTimestamp,CustId,CustCreationTimestamp,Rate,TaskCreationTimestamp,Price,ServiceId,CategoryId,ZoneId,TaskState,TargetProId,isFraud
VkSa32MyS738HMkfk4tEfk,vqUkxUDuEmB7gHWQvcYrBn,1552751751302,SgcxJApdnttAvEN9865TSZ,1565441404199,5,1565608270089,362000,bKv8JeCDhHBCe8SnfDcv66,VzkJEPR5H3mnqctJ8TW3YS,98DpwFpuLYJtF6jajghriE,Finished,vqUkxUDuEmB7gHWQvcYrBn,FALSE
FDPHLhrcjx3Gww4syg43Po,KaLEhwzZxCQ7GjPmVwBVav,1558262535289,EveEDVPDDDq3Ljh3bg8Exn,1561655121208,5,1563280381472,,aegfi8HeWASAP6a9YkddeL,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,YvvjyjpmXxj43RJGBHPq2n,FALSE
6Z7CCQoHpC8ga8KZbsgUbx,pybDYgTiCUv3Pv3WLgxKCM,1558538960723,mrDLWRmWuxGD7TVPAsD5X6,1545554406049,1,1566297337468,,uDHVz7XXXRCkGKWRUe2jKp,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
n5DKFF8SJYoP57ypvpCEg5,zqPiDV33KwrMBZoyeQXMJW,1507727811649,aK3MnLeQywfLYMJJNyu7i8,1512288789660,4,1522825078700,,Jy7nZvUqvwDUhcAG59wPcg,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
oCwEhmYhhzHkuZyqQCusFU,CR8z3ThPyzBKXFqqzemQAS,1560860808052,vHjzucgXFu9eA9YhuEeuk4,1561328838459,1,1564542737897,150000,f8o6yBmfeJiUTAmvpRCFAZ,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
trx3Lbf5YnjBbrTXzK3koK,gUbx9x9A73Drkb4QBJPpgh,1528991031333,eKCFEXnAyJdpWeM4XrFL4x,1532416728300,1,1532508168544,180000,aAkNmQxRakik386nZvYv9d,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
TyoLDBkbLomR6JMBuXcvUg,qx7qastwRLkRQEY2D6CSiB,1543148772561,ZEcVyk4i5BdWbcvjWUymga,1562500851511,1,1569828225868,390000,sDRRkkrrCx3krdGsGqwhFR,VzkJEPR5H3mnqctJ8TW3YS,4vmCuHsVCshaWa5e5WxrNK,Finished,,FALSE
PuqCTy4iZy36sTD5KBkBxJ,3hMiDjJx4Wo9NzKhpbTdR9,1546097644408,SdzLWkrqqzEWyZQEHo27DG,1555057077422,5,1555149245735,60000,UX7m6RWnKWvmw82URCyUMB,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
XjptSnKJYGV8fF6vrGyKLV,CY8WkG7JuedDkBneeiEchJ,1559027786245,oehNxzBhToswdDfqhNqoaL,1560547512948,5,1560671323376,40000,aAkNmQxRakik386nZvYv9d,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
WEAC7xxtjguArBgwTuzubR,dkwSgXTyPhgfX7xQvq9PTm,1546670392940,puiQeyYywKet8giy4Fojze,1552319507877,5,1567321350566,140000,6WeBuz5wLE3oAbPmKWD4ex,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
EsUyRw2ZTg5hY9CUHP8588,kC9ofdLG7EkHzCvQ87mKLN,1531061207285,FuXfMF6nG3Ncu8uetue48r,1536268154060,4,1539773230642,90000,NM5xsWKHXSxuWG9n2XotJZ,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
d6LczuKvjrtzsdw8wS2AZX,oJYHFRDzT9HUKERnbasi6r,1560775496728,fojpRroGD22vwVX3Y7h3Yt,1563972653423,5,1569670301040,100000,p8vrwvQQMSkSPUSWLnsRaQ,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
AXtfSNTSsBhNGNy7USYqAf,6zXDEaXxmqqeHUVzVYHDVH,1548791575300,9xcLh6NF5gqxwn2pisY2oi,1547203437987,1,1568092685174,,5kmdrs3BfWRugmzB65Mkjf,Ax5bRJZGir8vaZMs3ZB9i5,XZCnwH2vCRhHReoVx9X3XV,Finished,piTYfvXVuSVYwtJUjzN2k9,FALSE
sPJzXzChC6A7DWrf2goDux,qv8L6yefk2guJzZn4FtGMj,1528991267906,kcP5cwf46cMvir86coepm7,1570786744050,4,1570952014299,,UX7m6RWnKWvmw82URCyUMB,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
KJxJ2n5s8YsfWQpZ4AtyW2,SMwzbMSSybkcPS6m5e2jc6,1543824434689,ckuwSB7xQcscceD9DtBPAj,1546452594526,1,1559192125720,450000,5kmdrs3BfWRugmzB65Mkjf,Ax5bRJZGir8vaZMs3ZB9i5,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
sgeECdzCtm47Skaem4HsgM,3xscwa5ZPUgbMWU9MXXAwG,1566892071572,LRDR6EwXgYJayWmic7XqSQ,1567342948146,5,1567626266685,,SHNRMs64Qfnhq3JggNWbgx,VzkJEPR5H3mnqctJ8TW3YS,4vmCuHsVCshaWa5e5WxrNK,Finished,,FALSE
uyXrzePBpkBs8Sh6ihMADL,76co3HFLSjBHjtjDhz7Y2Z,1553706582312,MgW6nw6ZcfDL37q7CgNiZU,1553917802293,5,1554030474998,1500000,vPxfh8W6diU2WSWseXDhwN,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
aRhrg8M24QdWCbMwDjJwfY,9aojeJPVPDYwtynZ9sNiU6,1550826785961,ycgF8inrbugKiN7c23hMgr,1550864154197,5,1575884810756,11000000,Mj7nH6HJSzcvR4mWnUxfqi,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,TRUE
pytDWsxAAB7tQfZzi82ZWU,WPn2my89UyqThiBx7M9pXV,1541183859120,Ly2KQoZvWZPiQKTw2N4TWg,1567276256118,5,1567608370773,100000,Kbvss3N5FTsnzzmumXT45E,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
LuzhXe8MePSZNc6wVwpJw9,EAcHX2A2GRqwTBVDaUGrGg,1558267991214,9vWy2dvyM7Q3UpGPu5s7R5,1560481100318,5,1565081040260,100000,mMTCfv4EXt6D74XiKxf33G,VzkJEPR5H3mnqctJ8TW3YS,w7ySKZasdRqSzabsjb7XXY,Finished,,FALSE
qbkUBbEG3asCRuafjcGhDp,8h4fVbeULqBqpa9EScizpp,1533244382485,imPhYmE6KweVjuakkrHh3F,1563178511695,5,1563276858130,95000,aAkNmQxRakik386nZvYv9d,VzkJEPR5H3mnqctJ8TW3YS,XZCnwH2vCRhHReoVx9X3XV,Finished,,FALSE
